Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Usar prodcucción,Proveedor,Costo de compra,Disponibles para la venta [Obrador Roig],Precio [Obrador Roig],En inventario [Obrador Roig],Existencias bajas [Obrador Roig],Stock óptimo [Obrador Roig],"impuesto - ""IVA 4%"" (4%)","impuesto - ""IVA 10%"" (10%)"
cafè-americà,10063,Cafè americà,cafè,,N,,,,,,,0.00,,,,N,,,,Y,1.70,,,,N,Y
cafè-doble,10298,Cafè doble,cafè,,N,,,,,,,0.00,,,,N,,,,Y,1.70,,,,N,Y
cafè-sol,10004,Cafè sol,cafè,,N,,,,,,,0.00,,,,N,,,,Y,1.50,,,,N,Y
bombó-estoig-nuestra-tierra-12u,10382,Caixa Bombó Estoig 12u,Ludomar,,N,,,,,,,0.00,,,,N,,,,Y,9.50,,,,N,Y
caixa-gran,10359,Caixa gran,Packaging,,N,,,,,,,0.00,,,,N,,,,Y,1.20,,,,N,Y
caixa-kraft,10356,Caixa kraft,Packaging,,N,,,,,,,0.00,,,,N,,,,Y,0.60,,,,N,Y
caixa-mitjana,10358,Caixa mitjana,Packaging,,N,,,,,,,0.00,,,,N,,,,Y,1.00,,,,N,Y
caixa-panellets-20u,10275,Caixa panellets 20u,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,25.00,,,,N,Y
caixa-petita,10357,Caixa petita,Packaging,,N,,,,,,,0.00,,,,N,,,,Y,0.95,,,,N,Y
calendari-nadal-desembre-adviento-pare-noel-amb-figures,10043,Calendari advent Desembre AMB figures,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,8.00,,,,N,Y
camp-futbol-gran,10399,Camp futbol gran,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,94.95,,,,N,Y
camp-futbol-petit,10398,Camp futbol petit,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,39.95,,,,N,Y
canapes,10306,Canapes,DZ,,Y,,,,,,,0.00,,,,N,,,,Y,58.50,,,,N,Y
canya-xoco-indiv.,10067,Canya xoco indiv.,pa,,N,,,,,,,0.00,,,,N,,,,Y,1.95,,,,N,Y
capuccino,10006,Capuccino,cafè,,N,,,,,,,0.00,,,,N,,,,Y,1.80,,,,N,Y
caracola,10069,Caracola,pa,,N,,,,,,,0.00,,,,N,,,,Y,2.00,,,,N,Y
carbó-sac-100-gr,10042,Carbó bossa 80 gr,DZ,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
cargol-viena,10027,Cargol viena,pa,,N,,,,,,,0.00,,,,N,,,,Y,1.20,,,,Y,N
carquinyoli,10459,Carquinyoli,Blasetti,,Y,,,,,,,0.00,,,,N,,,,Y,20.00,,,,N,Y
carrot-cake,10070,Carrot cake gran,Alex,,N,,,,,,,0.00,,,,N,,,,N,52.50,,,,N,Y
carrot-cake-mitjà,10365,Carrot cake mitjà,Alex,,N,,,,,,,0.00,,,,N,,,,Y,42.50,,,,N,Y
carrot-cake-petit,10366,Carrot cake petit,Alex,,N,,,,,,,0.00,,,,N,,,,Y,28.50,,,,N,Y
castell-peça-única,10427,Castell figura,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,42.00,,,,N,Y
catanies-granel,10140,Catanies unitat,Ludomar,,N,,,,,,,0.00,,,,N,,,,Y,0.40,,,,N,Y
entrepa-individual,10438,Catering entrepa individual,DZ,,N,,,,,,,0.00,,,,N,,,,Y,1.65,,,,N,Y
entrepà-individual-pernil-serrà,10439,Catering entrepà individual pernil salat,DZ,,N,,,,,,,0.00,,,,N,,,,Y,1.95,,,,N,Y
cava-freixenet,10334,Cava Freixenet / AK Damm,beguda,,N,,,,,,,0.00,,,,N,,,,Y,3.70,,,,N,Y
cava-xoco-300-gr,10080,Cava xoco 300 gr,Sant Valentí,,N,,,,,,,0.00,,,,N,,,,Y,14.50,,,,N,Y
cervesa-sense-alcohol,10175,Cervesa sense alcohol,beguda,,N,,,,,,,2.10,,,,N,,,,Y,2.10,,,,Y,Y
cheescake-formatge-gran,10441,Cheescake formatge gran,Alex,,N,,,,,,,0.00,,,,N,,,,Y,52.50,,,,N,Y
chhescake-mitja,10255,Cheescake formatge mitjà,Alex,,N,,,,,,,0.00,,,,N,,,,Y,42.50,,,,N,Y
cheescake-formatge-petit,10308,Cheescake formatge petit,Alex,,N,,,,,,,0.00,,,,N,,,,Y,28.50,,,,N,Y
especialitat-pà-chia-quinoa,10142,Chia i quinoa,pa especialitat,,N,,,,,,,0.00,,,,N,,,,Y,2.45,,,,Y,N
chipa,10215,Chipa,,,N,,,,,,,1.00,,,,N,,,,Y,1.00,,,,Y,Y
choco-sticks-20g,10066,Choco Sticks 20g,Simon Coll,,N,,,,,,,0.00,,,,N,,,,Y,1.80,,,,Y,Y
coca-canyella-pes-al-kg,10082,Coca canyella pes al Kg,coca SR,,N,,,,,,,0.00,,,,N,,,,Y,30.00,,,,N,Y
coca-de-croissant,10083,Coca de croissant,coca SR,,N,,,,,,,0.00,,,,N,,,,Y,19.50,,,,N,Y
coca-de-forner-pinyó,10085,Coca de forner pinyó,coca SR,,N,,,,,,,0.00,,,,N,,,,Y,14.95,,,,N,Y
coca-de-full-xocolata/cabell-d'àngel-10/12-r.,10087,Coca de full xoco/cabell d'àngel 10/12 r.,coca SR,,N,,,,,,,0.00,,,,N,,,,Y,23.50,,,,N,Y
coca-de-recapte-gran,10088,coca de recapte gran,Quaresma SR,,N,,,,,,,0.00,,,,N,,,,Y,23.50,,,,N,Y
coca-de-recapte-petita,10089,coca de recapte petita,Quaresma SR,,N,,,,,,,0.00,,,,N,,,,Y,3.90,,,,N,Y
stj-petita,10462,Coca de Sant Joan,Revetlla Sant Joan,,N,,,,,,,0.00,,,,N,,,,Y,variable,,,,N,Y
coca-de-vidre-de-pinyó,10091,Coca de vidre,coca SR,,N,,,,,,,0.00,,,,N,,,,Y,3.85,,,,N,Y
coca-llardons-individual,10348,Coca llardons individual,coca SR,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
coca-llardons-mitjana,10350,Coca llardons mitjana,coca SR,,N,,,,,,,0.00,,,,N,,,,Y,24.95,,,,N,Y
coca-llardons-petita,10349,Coca llardons petita,coca SR,,N,,,,,,,0.00,,,,N,,,,Y,9.50,,,,N,Y
coca-pasta-full-pack,10240,Coca pasta full pack,DZ,,N,,,,,,,0.00,,,,N,,,,Y,2.95,,,,N,Y
cofre-gran,10406,Cofre gran,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,55.00,,,,N,Y
cofre,10405,Cofre petit,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,39.00,,,,N,Y
colacao,10134,ColaCao,beguda,,N,,,,,,,1.80,,,,N,,,,Y,1.80,,,,Y,Y
conill-peluche,10153,Conill peluche,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,2.50,,,,N,Y
mousse-cor-nata-gerds,10451,Cor full nata freses,Sant Valentí,,N,,,,,,,0.00,,,,N,,,,Y,19.95,,,,N,Y
cor-iema/trufa,10449,Cor iema/trufa/ mousse/ sacher,Sant Valentí,,N,,,,,,,0.00,,,,N,,,,Y,19.95,,,,N,Y
cor-biscuit-/-massini,10090,Cor massini,Sant Valentí,,N,,,,,,,0.00,,,,N,,,,Y,24.95,,,,N,Y
corbs,10101,Corbs,T'olis,,N,,,,,,,0.00,,,,N,,,,Y,7.95,,,,N,Y
motor-cotxe-f1-/-moto-175gr-simon-coll,10372,Cotxe F1 / moto 175gr,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,18.50,,,,N,Y
coulant-negre,10103,Coulant,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,2.75,,,,N,Y
cracker-sense-gluten,10259,Cracker sense gluten,Sense gluten,,N,,,,,,,0.00,,,,N,,,,Y,3.95,,,,N,Y
crema-x2-st.-josep,10301,Crema x2 St. Josep,Quaresma SR,,N,,,,,,,0.00,,,,N,,,,Y,6.00,,,,N,Y
