Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Usar prodcucción,Proveedor,Costo de compra,Disponibles para la venta [Obrador Roig],Precio [Obrador Roig],En inventario [Obrador Roig],Existencias bajas [Obrador Roig],Stock óptimo [Obrador Roig],"impuesto - ""IVA 4%"" (4%)","impuesto - ""IVA 10%"" (10%)"
tortell-reis-gran-cr.cr./nata/trufa-9/10-pax,10262,Tortell reis farcit gran,reis,,N,,,,,,,0.00,,,,N,,,,Y,49.95,,,,N,Y
tortell-reis-petit-cr.cr./nata/trufa-4/5-pax,10264,Tortell reis farcit petit,reis,,N,,,,,,,0.00,,,,N,,,,Y,33.50,,,,N,Y
tortell-reis-gran-massapà-9/10-pax,10263,Tortell reis massapà gran,reis,,N,,,,,,,0.00,,,,N,,,,Y,39.95,,,,N,Y
tortell-reis-petit-massapà-4/5-pax,10265,Tortell reis petit massapà,reis,,N,,,,,,,0.00,,,,N,,,,Y,23.50,,,,N,Y
"tronc-tió-gran-34,95",10058,Tronc cara tió gran,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,34.95,,,,N,Y
tronc-cara-petit-tió,10072,Tronc cara tió petit,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,22.50,,,,N,Y
tronc,10493,Tronc Nadal,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,22.50,,,,N,Y
tronc-petit-nadal,10056,Tronc petit Nadal,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,14.95,,,,N,Y
trufa-granel-dz,10466,Trufa granel DZ,DZ,,N,,,,,,,0.00,,,,N,,,,Y,0.80,,,,N,Y
trufes-preu/kg,10268,Trufes preu/kg,pastisseria dolça pes,,N,,,,,,,0.00,,,,N,,,,Y,36.00,,,,N,Y
tupper-nata,10096,Tupper nata,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,4.95,,,,N,Y
turró-crema-catalana,10271,Turró Torró,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,14.95,,,,N,Y
mini-pilota-2012gr-simon-coll,10369,Ull halloween / mini pilota futbol 12gr Simon Coll,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,1.95,,,,N,Y
unicornio-150gr-simon-coll,10373,Unicornio figura xoco,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,18.50,,,,N,Y
vaixell,10400,Vaixell,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,39.95,,,,N,Y
viena-barra-1/4,10283,Viena barra 1/4,pa,,N,,,,,,,0.00,,,,N,,,,Y,1.95,,,,Y,N
viena-barreta-gran,10284,Viena gran,pa,,N,,,,,,,0.00,,,,N,,,,Y,0.85,,,,Y,N
viena-barreta-petita,10285,Viena petit,pa,,N,,,,,,,0.00,,,,N,,,,Y,0.65,,,,Y,N
xocolata-desfeta-sr,10491,Xocolata desfeta SR Eur/litre,brioixeria SR,,Y,,,,,,,0.00,,,,N,,,,Y,8.95,,,,N,Y
xocolata-tassa-gran,10289,Xocolata tassa desfeta,xocolatada,,N,,,,,,,0.00,,,,N,,,,Y,2.50,,,,N,Y
xocolatina-blanc-simón-coll-25g,10156,Xocolatina individual 18g / 25g,Simon Coll,,N,,,,,,,0.00,,,,N,,,,Y,1.50,,,,N,Y
xocolatina-llet-25g,10253,Xocolatina llet Simon Coll 25g,Simon Coll,,N,,,,,,,0.00,,,,N,,,,Y,0.95,,,,N,Y
xuixo-croissant,10292,Xuixo,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,2.40,,,,N,Y
xuixo-croissant-mini,10293,Xuixo mini,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,1.30,,,,N,Y
xurros-de-xocolata-preu/unitat,10294,Xurros de xocolata preu/unitat,xocolatada,,N,,,,,,,0.00,,,,N,,,,Y,0.80,,,,N,Y
xurros-preu/unitat,10295,Xurros preu/unitat,xocolatada,,N,,,,,,,0.00,,,,N,,,,Y,0.70,,,,N,Y
